Athlete,Country,Sport,Event,Medal
POST Alise,United States,Cycling BMX,Women,silver
FIELDS Connor,United States,Cycling BMX,Men,gold
ARMSTRONG Kristin,United States,Cycling Road,Women's Individual Time Trial,gold
HAMMER Sarah,United States,Cycling Track,Women's Omnium,silver
HAMMER Sarah,United States,Cycling Track,Women's Team Pursuit,silver
CATLIN Kelly,United States,Cycling Track,Women's Team Pursuit,silver
DYGERT Chloe,United States,Cycling Track,Women's Team Pursuit,silver
VALENTE Jennifer,United States,Cycling Track,Women's Team Pursuit,silver
WINDER Ruth,United States,Cycling Track,Women's Team Pursuit,silver
BOUDIA David,United States,Diving,Men's Synchronised 10m Platform,silver
DORMAN Sam,United States,Diving,Men's Synchronised 3m Springboard,silver
HIXON Mike,United States,Diving,Men's Synchronised 3m Springboard,silver
JOHNSON Steele,United States,Diving,Men's Synchronised 10m Platform,silver
BOUDIA David,United States,Diving,Men's 10m Platform,bronze
DAVIS Lucy,United States,Equestrian,Jumping Team,silver
FARRINGTON Kent,United States,Equestrian,Jumping Team,silver
MADDEN Elizabeth,United States,Equestrian,Jumping Team,silver
WARD McLain,United States,Equestrian,Jumping Team,silver
BROCK Allison M.,United States,Equestrian,Dressage Team,bronze
DUTTON Phillip,United States,Equestrian,Eventing Individual,bronze
GRAVES Laura,United States,Equestrian,Dressage Team,bronze
PERRY-GLASS Kasey,United States,Equestrian,Dressage Team,bronze
PETERS Steffen,United States,Equestrian,Dressage Team,bronze
MASSIALAS Alexander,United States,Fencing,Men's Foil Individual,silver
HOMER Daryl,United States,Fencing,Men's Sabre Individual,silver
MASSIALAS Alexander,United States,Fencing,Men's Foil Team,bronze
AKSAMIT Monica,United States,Fencing,Women's Sabre Team,bronze
CHAMLEY-WATSON Miles,United States,Fencing,Men's Foil Team,bronze
IMBODEN Race,United States,Fencing,Men's Foil Team,bronze
MEINHARDT Gerek,United States,Fencing,Men's Foil Team,bronze
MUHAMMAD Ibtihaj,United States,Fencing,Women's Sabre Team,bronze
WOZNIAK Dagmara,United States,Fencing,Women's Sabre Team,bronze
ZAGUNIS Mariel,United States,Fencing,Women's Sabre Team,bronze
KUCHAR Matt,United States,Golf,Men's Individual Stroke Play,bronze
STEVENS Travis,United States,Judo,Men -81 kg,silver
HARRISON Kayla,United States,Judo,Women -78 kg,gold
STONE Genevra,United States,Rowing,Women's Single Sculls,silver
ELMORE Amanda,United States,Rowing,Women's Eight,gold
GOBBO Tessa,United States,Rowing,Women's Eight,gold
LOGAN Eleanor,United States,Rowing,Women's Eight,gold
MUSNICKI Meghan,United States,Rowing,Women's Eight,gold
POLK Amanda,United States,Rowing,Women's Eight,gold
REGAN Emily,United States,Rowing,Women's Eight,gold
SCHMETTERLING Lauren,United States,Rowing,Women's Eight,gold
SIMMONDS Kerry,United States,Rowing,Women's Eight,gold
SNYDER Katelin,United States,Rowing,Women's Eight,gold
PAINE Caleb,United States,Sailing,Finn Men,bronze
THRASHER Virginia,United States,Shooting,10m Air Rifle Women,gold
COGDELL Corey,United States,Shooting,Trap Women,bronze
RHODE Kimberly,United States,Shooting,Skeet Women,bronze
PHELPS Michael,United States,Swimming,Men's 100m Butterfly,silver
LEDECKY Katie,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
MANUEL Simone,United States,Swimming,Women's 50m Freestyle,silver
MANUEL Simone,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
DIRADO Madeline,United States,Swimming,Women's 400m Individual Medley,silver
VOLLMER Dana,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
BAKER Kathleen,United States,Swimming,Women's 100m Backstroke,silver
SCHMITT Allison,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
WEITZEIL Abbey,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
JAEGER Connor,United States,Swimming,Men's 1500m Freestyle,silver
KALISZ Chase,United States,Swimming,Men's 400m Individual Medley,silver
NEAL Lia,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
PRENOT Josh,United States,Swimming,Men's 200m Breaststroke,silver
WEIR Amanda,United States,Swimming,Women's 4 x 100m Freestyle Relay,silver
PHELPS Michael,United States,Swimming,Men's 4 x 100m Medley Relay,gold
PHELPS Michael,United States,Swimming,Men's 200m Individual Medley,gold
PHELPS Michael,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
PHELPS Michael,United States,Swimming,Men's 200m Butterfly,gold
PHELPS Michael,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
LEDECKY Katie,United States,Swimming,Women's 800m Freestyle,gold
LEDECKY Katie,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
LEDECKY Katie,United States,Swimming,Women's 200m Freestyle,gold
LEDECKY Katie,United States,Swimming,Women's 400m Freestyle,gold
MURPHY Ryan,United States,Swimming,Men's 4 x 100m Medley Relay,gold
MURPHY Ryan,United States,Swimming,Men's 200m Backstroke,gold
MURPHY Ryan,United States,Swimming,Men's 100m Backstroke,gold
MANUEL Simone,United States,Swimming,Women's 4 x 100m Medley Relay,gold
MANUEL Simone,United States,Swimming,Women's 100m Freestyle,gold
DIRADO Madeline,United States,Swimming,Women's 200m Backstroke,gold
DIRADO Madeline,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
ADRIAN Nathan,United States,Swimming,Men's 4 x 100m Medley Relay,gold
ADRIAN Nathan,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
DRESSEL Caeleb,United States,Swimming,Men's 4 x 100m Medley Relay,gold
DRESSEL Caeleb,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
ERVIN Anthony,United States,Swimming,Men's 50m Freestyle,gold
ERVIN Anthony,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
KING Lilly,United States,Swimming,Women's 4 x 100m Medley Relay,gold
KING Lilly,United States,Swimming,Women's 100m Breaststroke,gold
VOLLMER Dana,United States,Swimming,Women's 4 x 100m Medley Relay,gold
BAKER Kathleen,United States,Swimming,Women's 4 x 100m Medley Relay,gold
SCHMITT Allison,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
WEITZEIL Abbey,United States,Swimming,Women's 4 x 100m Medley Relay,gold
DWYER Conor,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
MEILI Catherine,United States,Swimming,Women's 4 x 100m Medley Relay,gold
MILLER Cody,United States,Swimming,Men's 4 x 100m Medley Relay,gold
PLUMMER David,United States,Swimming,Men's 4 x 100m Medley Relay,gold
SMITH Leah,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
BENTZ Gunnar,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
CONGER Jack,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
CORDES Kevin,United States,Swimming,Men's 4 x 100m Medley Relay,gold
FEIGEN James,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
FRANKLIN Missy,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
HAAS Townley,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
HELD Ryan,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
LOCHTE Ryan,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
MARGALIS Melanie,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
PIERONI Blake,United States,Swimming,Men's 4 x 100m Freestyle Relay,gold
RUNGE Cierra,United States,Swimming,Women's 4 x 200m Freestyle Relay,gold
SHIELDS Tom,United States,Swimming,Men's 4 x 100m Medley Relay,gold
SMITH Clark,United States,Swimming,Men's 4 x 200m Freestyle Relay,gold
SMOLIGA Olivia,United States,Swimming,Women's 4 x 100m Medley Relay,gold
WORRELL Kelsi,United States,Swimming,Women's 4 x 100m Medley Relay,gold
DIRADO Madeline,United States,Swimming,Women's 200m Individual Medley,bronze
ADRIAN Nathan,United States,Swimming,Men's 50m Freestyle,bronze
ADRIAN Nathan,United States,Swimming,Men's 100m Freestyle,bronze
VOLLMER Dana,United States,Swimming,Women's 100m Butterfly,bronze
DWYER Conor,United States,Swimming,Men's 200m Freestyle,bronze
MEILI Catherine,United States,Swimming,Women's 100m Breaststroke,bronze
MILLER Cody,United States,Swimming,Men's 100m Breaststroke,bronze
PLUMMER David,United States,Swimming,Men's 100m Backstroke,bronze
SMITH Leah,United States,Swimming,Women's 400m Freestyle,bronze
GALLOWAY Jackie,United States,Taekwondo,Women +67kg,bronze
RAM Rajeev,United States,Tennis,Mixed Doubles,silver
WILLIAMS Venus,United States,Tennis,Mixed Doubles,silver
SOCK Jack,United States,Tennis,Mixed Doubles,gold
MATTEK-SANDS Bethanie,United States,Tennis,Mixed Doubles,gold
SOCK Jack,United States,Tennis,Men's Doubles,bronze
JOHNSON Steve,United States,Tennis,Men's Doubles,bronze
JORGENSEN Gwen,United States,Triathlon,Women,gold
ADAMS Rachael,United States,Volleyball,Women,bronze
AKINRADEWO Foluke,United States,Volleyball,Women,bronze
ANDERSON Matthew,United States,Volleyball,Men,bronze
BANWARTH Kayla,United States,Volleyball,Women,bronze
CHRISTENSON Micah,United States,Volleyball,Men,bronze
DIETZEN Christa Harmotto,United States,Volleyball,Women,bronze
GLASS Alisha,United States,Volleyball,Women,bronze
HILL Kimberly,United States,Volleyball,Women,bronze
HOLT Maxwell,United States,Volleyball,Men,bronze
JAESCHKE Thomas,United States,Volleyball,Men,bronze
LARSON-BURBACH Jordan,United States,Volleyball,Women,bronze
LEE David,United States,Volleyball,Men,bronze
LLOYD Carli,United States,Volleyball,Women,bronze
LOWE Karsta,United States,Volleyball,Women,bronze
MURPHY Kelly,United States,Volleyball,Women,bronze
PRIDDY William Reid,United States,Volleyball,Men,bronze
ROBINSON Kelsey,United States,Volleyball,Women,bronze
RUSSELL Aaron,United States,Volleyball,Men,bronze
SANDER Taylor,United States,Volleyball,Men,bronze
SHOJI Erik,United States,Volleyball,Men,bronze
SHOJI Kawika,United States,Volleyball,Men,bronze
SMITH David,United States,Volleyball,Men,bronze
THOMPSON Courtney,United States,Volleyball,Women,bronze
TROY Murphy,United States,Volleyball,Men,bronze
CLARK KK,United States,Water Polo,Women,gold
CRAIG Kami,United States,Water Polo,Women,gold
FATTAL Rachel,United States,Water Polo,Women,gold
FISCHER Aria,United States,Water Polo,Women,gold
FISCHER Makenzie,United States,Water Polo,Women,gold
GILCHRIST Kaleigh,United States,Water Polo,Women,gold
HILL Sami,United States,Water Polo,Women,gold
JOHNSON Ashleigh,United States,Water Polo,Women,gold
MATHEWSON Courtney,United States,Water Polo,Women,gold
MUSSELMAN Madeline,United States,Water Polo,Women,gold
NEUSHUL Kiley,United States,Water Polo,Women,gold
SEIDEMANN Melissa,United States,Water Polo,Women,gold
STEFFENS Maggie,United States,Water Polo,Women,gold
ROBLES Sarah Elizabeth,United States,Weightlifting,Women's +75kg,bronze
MAROULIS Helen Louise,United States,Wrestling,Women's Freestyle 53 kg,gold
SNYDER Kyle Frederick,United States,Wrestling,Men's Freestyle 97 kg,gold
COX J'den Michael Tbory,United States,Wrestling,Men's Freestyle 86 kg,bronze
GIYASOV Shakhram,Uzbekistan,Boxing,Men's Welter (69kg),silver
MELIKUZIEV Bektemir,Uzbekistan,Boxing,Men's Middle (75kg),silver
DUSMATOV Hasanboy,Uzbekistan,Boxing,Men's Light Fly (46-49kg),gold
GAIBNAZAROV Fazliddin,Uzbekistan,Boxing,Men's Light Welter (64kg),gold
ZOIROV Shakhobidin,Uzbekistan,Boxing,Men's Fly (52kg),gold
AKHMADALIEV Murodjon,Uzbekistan,Boxing,Men's Bantam (56kg),bronze
TULAGANOV Rustam,Uzbekistan,Boxing,Men's Heavy (91kg),bronze
SOBIROV Rishod,Uzbekistan,Judo,Men -66 kg,bronze
UROZBOEV Diyorbek,Uzbekistan,Judo,Men -60 kg,bronze
NURUDINOV Ruslan,Uzbekistan,Weightlifting,Men's 105kg,gold
IBRAGIMOV Magomed Idrisovitch,Uzbekistan,Wrestling,Men's Freestyle 97 kg,bronze
NAVRUZOV Ikhtiyor,Uzbekistan,Wrestling,Men's Freestyle 65 kg,bronze
TASMURADOV Elmurat,Uzbekistan,Wrestling,Men's Greco-Roman 59 kg,bronze
ROJAS Yulimar,Venezuela,Athletics,Women's Triple Jump,silver
FINOL Yoel Segundo,Venezuela,Boxing,Men's Fly (52kg),bronze
HERNANDEZ Stefany,Venezuela,Cycling BMX,Women,bronze
HOANG Xuan Vinh,Vietnam,Shooting,50m Pistol Men,silver
HOANG Xuan Vinh,Vietnam,Shooting,10m Air Pistol Men,gold
